SOS_dt,SOS_doy,SOS_v,POS_dt,POS_doy,POS_v,EOS_dt,EOS_doy,EOS_v,x,y,Vegetation,LOS,Waterhole,POS_year
2012-02-05,36,0.4261963693675471,2012-08-15,228,0.4679603739352834,2013-01-22,22,0.4101680294993263,577500.0,-2927700.0,Mid-dense trees,352,Marboo,2012.0
2016-07-25,207,0.36831364343893425,2017-02-02,33,0.4615039472411836,2017-08-13,225,0.3762212551079459,577500.0,-2927700.0,Mid-dense trees,384,Marboo,2017.0
2000-01-03,3,0.4497722698384933,2000-07-29,211,0.4810421503699877,2001-02-22,53,0.46338734707027934,577950.0,-2927700.0,Mid-dense trees,416,Marboo,2000.0
2010-06-07,158,0.47334061121786963,2010-12-16,350,0.6188135225947196,2011-06-26,177,0.5221017578071593,577950.0,-2927700.0,Mid-dense trees,384,Marboo,2010.0
2016-09-27,271,0.345167075050464,2017-04-23,113,0.38720852133727085,2017-10-16,289,0.33153046793620927,577950.0,-2927700.0,Mid-dense trees,384,Marboo,2017.0
1990-03-12,71,0.33988583914251136,1990-09-20,263,0.42622945593346306,1991-04-16,106,0.37270986015819146,577410.0,-2927730.0,Mid-dense trees,400,Marboo,1990.0
1998-08-09,221,0.4072268424171036,1999-03-05,64,0.48275827367505925,1999-08-28,240,0.4631226439041733,577410.0,-2927730.0,Mid-dense trees,384,Marboo,1999.0
2008-01-25,25,0.32959282941300166,2008-08-20,233,0.3878372521037623,2008-12-10,345,0.35085365436484334,577410.0,-2927730.0,Mid-dense trees,320,Marboo,2008.0
2010-07-25,206,0.24938850031844673,2011-01-17,17,0.35850030834461716,2011-08-13,225,0.3046565433705358,577410.0,-2927730.0,Mid-dense trees,384,Marboo,2011.0
2012-02-05,36,0.3065315942504958,2012-08-15,228,0.3719420032918985,2013-02-07,38,0.2984711673391209,577410.0,-2927730.0,Mid-dense trees,368,Marboo,2012.0
2016-08-10,223,0.27154112386059853,2017-02-18,49,0.3737932766496326,2017-09-14,257,0.31876270705468407,577410.0,-2927730.0,Mid-dense trees,400,Marboo,2017.0
1990-08-03,215,0.4378750199215884,1991-02-11,42,0.48136557572178285,1991-08-22,234,0.4188996491746534,577560.0,-2927730.0,Mid-dense trees,384,Marboo,1991.0
1995-02-06,37,0.3322842401387948,1995-09-02,245,0.37140813873022277,1995-11-21,325,0.3378401978919365,577560.0,-2927730.0,Mid-dense trees,288,Marboo,1995.0
